i	j	q	a
0	1242	113	1
0	1243	106	0
0	1244	113	1
0	1245	110	0
0	1246	49	0
0	1247	93	0
0	1248	113	1
0	1249	113	1
0	1250	112	0
0	1251	113	1
0	1252	105	0
0	1253	98	1
0	1254	65	1
0	1255	111	1
0	1256	111	1
0	1257	108	0
0	1258	113	1
0	1259	106	0
0	1260	113	1
0	1261	110	1
0	1262	86	1
0	1263	112	0
0	1264	109	1
0	1265	111	1
0	1266	113	1
0	1267	106	0
0	1268	113	0
0	1269	113	1
0	1270	108	0
0	1271	106	0
0	1272	113	1
0	1273	113	1
0	1274	113	1
0	1275	113	1
0	1276	113	1
0	1277	113	1
0	1278	108	0
0	1279	108	0
0	1280	113	1
0	1281	106	1
0	1282	55	0
0	1283	112	0
0	1284	108	0
0	1285	113	1
0	1286	93	0
0	1287	113	1
0	1288	112	1
0	1289	81	1
0	1290	111	0
0	1291	91	0
0	1292	112	0
0	1293	113	1
0	1294	106	0
0	1295	113	0
0	1296	108	0
0	1297	113	1
0	1298	102	0
0	1299	105	0
0	1300	113	1
0	1301	87	0
0	1302	112	0
0	1303	105	0
0	1304	100	1
0	1305	113	1
0	1306	113	1
0	1307	87	1
0	1308	106	0
0	1309	113	1
0	1310	112	0
0	1311	113	1
0	1312	113	1
0	1313	113	1
0	1314	112	0
0	1315	108	0
0	1316	108	0
0	1317	112	0
0	1318	106	1
0	1319	106	0
0	1320	108	0
0	1321	103	1
0	1322	113	1
0	1323	113	1
0	1324	113	1
0	1325	108	1
0	1326	111	1
0	1327	111	0
0	1328	112	1
0	1329	108	0
0	1330	106	0
0	1331	113	1
0	1332	113	1
0	1333	113	1
0	1334	55	0
0	1335	113	0
0	1336	113	0
0	1337	113	1
0	1338	53	0
0	1339	106	0
0	1340	103	1
0	1341	93	0
0	1342	93	0
0	1343	113	1
0	1344	108	0
0	1345	113	1
0	1346	111	1
0	1347	111	1
0	1348	113	0
0	1349	114	0
0	1350	112	1
0	1351	93	0
0	1352	110	0
0	1353	113	1
0	1354	112	1
0	1355	104	0
0	1356	114	0
0	1357	113	0
0	1358	113	1
0	1359	112	0
0	1360	112	1
0	1361	113	0
0	1362	112	1
0	1363	113	1
0	1364	108	0
0	1365	112	1
0	1366	113	1
0	1367	113	1
0	1368	111	0
0	1369	112	0
0	1370	93	0
0	1371	113	1
0	1372	92	0
0	1373	108	0
0	1374	92	0
0	1375	102	0
0	1376	113	1
0	1377	111	1
0	1378	113	1
0	1379	112	1
0	1380	113	1
0	1381	93	0
0	1382	113	1
0	1383	87	1
0	1384	113	0
0	1385	111	1
0	1386	110	1
0	1387	113	1
0	1388	91	0
