i	j	q	a
0	1086	110	1
0	1087	110	1
0	1088	111	1
0	1089	108	1
0	1090	93	1
0	1091	112	1
0	1092	102	1
0	1093	112	1
0	1094	87	1
0	1095	112	1
0	1096	107	1
0	1097	112	1
0	1098	91	1
0	1099	112	1
0	1100	108	1
0	1101	102	1
0	1102	104	1
0	1103	113	1
0	1104	112	1
0	1105	113	1
0	1106	108	1
0	1107	108	1
0	1108	108	1
0	1109	93	1
0	1110	57	1
0	1111	89	1
0	1112	111	1
0	1113	93	1
0	1114	93	1
0	1115	113	1
0	1116	113	1
0	1117	112	1
0	1118	91	1
0	1119	93	1
0	1120	113	1
0	1121	105	1
0	1122	107	1
0	1123	114	1
0	1124	112	1
0	1125	108	1
0	1126	111	1
0	1127	108	1
0	1128	93	1
0	1129	91	1
0	1130	113	1
0	1131	110	1
0	1132	112	1
0	1133	110	1
0	1134	108	1
0	1135	98	1
0	1136	89	1
0	1137	102	1
0	1138	112	1
0	1139	111	1
0	1140	113	1
0	1141	111	1
0	1142	93	1
0	1143	113	1
0	1144	106	1
0	1145	112	1
0	1146	108	1
0	1147	112	1
0	1148	112	1
0	1149	112	1
0	1150	105	1
0	1151	108	1
0	1152	106	1
0	1153	55	1
0	1154	93	1
0	1155	107	1
0	1156	93	1
0	1157	112	1
0	1158	57	1
0	1159	91	1
0	1160	112	1
0	1161	113	1
0	1162	112	1
0	1163	106	1
0	1164	106	1
0	1165	113	1
0	1166	57	1
0	1167	106	1
0	1168	111	1
0	1169	93	1
0	1170	114	1
0	1171	108	1
0	1172	106	1
0	1173	110	1
0	1174	91	1
0	1175	114	1
0	1176	79	1
0	1177	108	1
0	1178	100	1
0	1179	57	1
0	1180	102	1
0	1181	106	1
0	1182	106	1
0	1183	66	1
0	1184	113	1
0	1185	106	1
0	1186	83	1
0	1187	108	1
0	1188	102	1
0	1189	87	1
0	1190	55	1
0	1191	107	1
0	1192	93	1
0	1193	113	1
0	1194	88	1
0	1195	112	1
0	1196	108	1
0	1197	93	1
0	1198	93	1
0	1199	87	1
0	1200	112	1
0	1201	106	1
0	1202	57	1
0	1203	112	1
0	1204	93	1
0	1205	108	1
0	1206	93	1
0	1207	111	1
0	1208	112	1
0	1209	108	1
0	1210	110	1
0	1211	108	1
0	1212	89	1
0	1213	57	1
0	1214	111	1
0	1215	111	1
0	1216	106	1
0	1217	113	1
0	1218	113	1
0	1219	91	1
0	1220	106	1
0	1221	57	1
0	1222	108	1
0	1223	110	1
0	1224	93	1
0	1225	93	1
0	1226	108	1
0	1227	112	1
0	1228	93	1
0	1229	113	1
0	1230	106	1
0	1231	108	1
0	1232	108	1
0	1233	113	1
0	1234	108	1
